relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000288,201000289,801000001,100,g,
R_000002,201000288,201000290,801000001,15,颗,
R_000003,201000288,201000291,801000001,15,颗,
R_000004,201000288,201000292,801000003,,,1.0
R_000005,201000288,201000293,801000003,,,2.0
R_000006,201000288,201000294,801000003,,,3.0
R_000007,201000288,201000295,801000003,,,4.0
R_000008,201000288,201000296,801000003,,,5.0
R_000009,201000288,740000000,801000004,,,
R_000010,201000288,750000000,801000004,,,
R_000011,201000288,620000000,801000005,,,
R_000012,201000297,201000298,801000001,1,个,
R_000013,201000297,201000299,801000001,适量,,
R_000014,201000297,201000300,801000001,2,克,
R_000015,201000297,201000301,801000001,适量,,
R_000016,201000297,201000302,801000003,,,1.0
R_000017,201000297,201000303,801000003,,,2.0
R_000018,201000297,201000304,801000003,,,3.0
R_000019,201000297,201000305,801000003,,,4.0
R_000020,201000297,740000000,801000004,,,
R_000021,201000297,620000000,801000005,,,
R_000022,201000306,201000307,801000001,1,颗,
R_000023,201000306,201000308,801000001,淹过鸡蛋约2公分,,
R_000024,201000306,201000309,801000003,,,1.0
R_000025,201000306,201000310,801000003,,,2.0
R_000026,201000306,201000311,801000003,,,3.0
R_000027,201000306,201000312,801000003,,,4.0
R_000028,201000306,201000313,801000003,,,5.0
R_000029,201000306,740000000,801000004,,,
R_000030,201000306,630000000,801000005,,,
R_000031,201000314,201000315,801000001,1,包,
R_000032,201000314,201000316,801000001,10-15,毫升,
R_000033,201000314,201000317,801000001,没过饺子高度1/2,,
R_000034,201000314,201000318,801000001,适量,,
R_000035,201000314,201000319,801000001,适量,,
R_000036,201000314,201000320,801000003,,,1.0
R_000037,201000314,201000321,801000003,,,2.0
R_000038,201000314,201000322,801000003,,,3.0
R_000039,201000314,201000323,801000003,,,4.0
R_000040,201000314,201000324,801000003,,,5.0
R_000041,201000314,201000325,801000003,,,6.0
R_000042,201000314,201000326,801000003,,,7.0
R_000043,201000314,201000327,801000003,,,8.0
R_000044,201000314,740000000,801000004,,,
R_000045,201000314,620000000,801000005,,,
R_000046,201000328,201000329,801000001,2,个,
R_000047,201000328,201000330,801000001,50,g,
R_000048,201000328,201000331,801000001,250,ml,
R_000049,201000328,201000332,801000001,50,g,
R_000050,201000328,201000333,801000001,适量,,
R_000051,201000328,201000334,801000001,适量,,
R_000052,201000328,201000335,801000001,适量,,
R_000053,201000328,201000336,801000003,,,1.0
R_000054,201000328,201000337,801000003,,,2.0
R_000055,201000328,201000338,801000003,,,3.0
R_000056,201000328,201000339,801000003,,,4.0
R_000057,201000328,201000340,801000003,,,5.0
R_000058,201000328,201000341,801000003,,,6.0
R_000059,201000328,201000342,801000003,,,7.0
R_000060,201000328,201000343,801000003,,,8.0
R_000061,201000328,740000000,801000004,,,
R_000062,201000328,620000000,801000005,,,
R_000063,201000344,201000345,801000001,280,ml,
R_000064,201000344,201000346,801000001,40,g,
R_000065,201000344,201000347,801000001,1,个,
R_000066,201000344,201000348,801000003,,,1.0
R_000067,201000344,201000349,801000003,,,2.0
R_000068,201000344,201000350,801000003,,,3.0
R_000069,201000344,201000351,801000003,,,4.0
R_000070,201000344,201000352,801000003,,,5.0
R_000071,201000344,201000353,801000003,,,6.0
R_000072,201000344,201000354,801000003,,,7.0
R_000073,201000344,201000355,801000003,,,8.0
R_000074,201000344,740000000,801000004,,,
R_000075,201000344,750000000,801000004,,,
R_000076,201000344,610000000,801000005,,,
R_000077,201000356,201000357,801000001,2,片,
R_000078,201000356,201000358,801000003,,,1.0
R_000079,201000356,201000359,801000003,,,2.0
R_000080,201000356,201000360,801000003,,,3.0
R_000081,201000356,201000361,801000003,,,4.0
R_000082,201000356,740000000,801000004,,,
R_000083,201000356,610000000,801000005,,,
R_000084,201000362,201000363,801000001,3,个,
R_000085,201000362,201000364,801000001,10,克,
R_000086,201000362,201000365,801000001,5,克,
R_000087,201000362,201000366,801000001,1,克,
R_000088,201000362,201000367,801000003,,,1.0
R_000089,201000362,201000368,801000003,,,2.0
R_000090,201000362,201000369,801000003,,,3.0
R_000091,201000362,201000370,801000003,,,4.0
R_000092,201000362,740000000,801000004,,,
R_000093,201000362,620000000,801000005,,,
R_000094,201000371,201000372,801000001,400,g,
R_000095,201000371,201000373,801000001,4,g,
R_000096,201000371,201000374,801000001,0.5-1,g,
R_000097,201000371,201000375,801000001,3,g,
R_000098,201000371,201000376,801000001,5,g,
R_000099,201000371,201000377,801000001,15,g,
R_000100,201000371,201000378,801000001,20,g,
R_000101,201000371,201000379,801000001,15,g,
R_000102,201000371,201000380,801000001,25,g,
R_000103,201000371,201000381,801000001,3,g,
R_000104,201000371,201000382,801000003,,,1.0
R_000105,201000371,201000383,801000003,,,2.0
R_000106,201000371,201000384,801000003,,,3.0
R_000107,201000371,201000385,801000003,,,4.0
R_000108,201000371,201000386,801000003,,,5.0
R_000109,201000371,201000387,801000003,,,6.0
R_000110,201000371,740000000,801000004,,,
R_000111,201000371,630000000,801000005,,,
R_000112,201000388,201000389,801000001,2,只,
R_000113,201000388,201000390,801000001,2,g,
R_000114,201000388,201000391,801000001,260,ml,
R_000115,201000388,201000392,801000003,,,1.0
R_000116,201000388,201000393,801000003,,,2.0
R_000117,201000388,201000394,801000003,,,3.0
R_000118,201000388,201000395,801000003,,,4.0
R_000119,201000388,201000396,801000003,,,5.0
R_000120,201000388,740000000,801000004,,,
R_000121,201000388,620000000,801000005,,,
