relationship_id,source_id,target_id,relationship_type
R_000001,201001259,720000000,801000004
R_000002,201001259,630000000,801000005
R_000003,201001260,720000000,801000004
R_000004,201001260,630000000,801000005
R_000005,201001261,640000000,801000005
R_000006,201001262,640000000,801000005
R_000007,201001263,650000000,801000005
R_000008,201001264,720000000,801000004
R_000009,201001264,630000000,801000005
R_000010,201001265,640000000,801000005
R_000011,201001266,640000000,801000005
R_000012,201001267,720000000,801000004
R_000013,201001267,640000000,801000005
R_000014,201001268,720000000,801000004
R_000015,201001268,630000000,801000005
