concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path
201001389,Recipe,蒜蓉西兰花,蒜蓉西兰花 (Recipe),蒜蓉西兰花,[],其他,2,,,,,,dishes\vegetable_dish\蒜蓉西兰花.md
201001390,Recipe,蒲烧茄子,蒲烧茄子 (Recipe),蒲烧茄子,"[{'term': '蒲烧青茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '蒲烧eggplant', 'language': 'en', 'language_code': 'en-US'}, {'term': '蒲烧紫茄子', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,3,,,,,,dishes\vegetable_dish\蒲烧茄子.md
201001391,Recipe,蚝油生菜,蚝油生菜 (Recipe),蚝油生菜,[],其他,2,,,,,,dishes\vegetable_dish\蚝油生菜.md
201001392,Recipe,西红柿炒鸡蛋,西红柿炒鸡蛋 (Recipe),西红柿炒鸡蛋,"[{'term': 'tomato炒鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '番茄炒鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,2,,,,,,dishes\vegetable_dish\西红柿炒鸡蛋.md
201001393,Recipe,酸辣土豆丝,酸辣土豆丝 (Recipe),酸辣土豆丝,"[{'term': '酸辣马铃薯丝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '酸辣洋芋丝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '酸辣potato丝', 'language': 'zh', 'language_code': 'zh-CN'}]",其他,2,,,,,,dishes\vegetable_dish\酸辣土豆丝.md
201001394,Recipe,金针菇日本豆腐煲,金针菇日本豆腐煲 (Recipe),金针菇日本豆腐煲,"[{'term': '金针菇日本嫩豆腐煲', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '金针菇日本tofu煲', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '金针菇日本老豆腐煲', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,2,,,,,,dishes\vegetable_dish\金针菇日本豆腐煲.md
201001395,Recipe,陕北熬豆角,陕北熬豆角 (Recipe),陕北熬豆角,[],其他,2,,,,,,dishes\vegetable_dish\陕北熬豆角.md
201001396,Recipe,雷椒皮蛋,雷椒皮蛋 (Recipe),雷椒皮蛋,[],素菜,2,,,,,,dishes\vegetable_dish\雷椒皮蛋.md
201001397,Recipe,鸡蛋火腿炒黄瓜,鸡蛋火腿炒黄瓜 (Recipe),鸡蛋火腿炒黄瓜,[],素菜,2,,,,,,dishes\vegetable_dish\鸡蛋火腿炒黄瓜.md
201001398,Recipe,上汤娃娃菜,上汤娃娃菜 (Recipe),上汤娃娃菜,[],其他,3,,,,,,dishes\vegetable_dish\上汤娃娃菜\上汤娃娃菜.md
