relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000024,720000000,801000004,,,
R_000002,201000024,640000000,801000005,,,
R_000003,201000025,201000026,801000001,1,条,
R_000004,201000025,201000027,801000001,3,根,
R_000005,201000025,201000028,801000001,1,块,
R_000006,201000025,201000029,801000001,10-15,ml,
R_000007,201000025,201000030,801000001,10-15,ml,
R_000008,201000025,201000031,801000001,10-15,ml,
R_000009,201000025,201000032,801000001,5-10,g,
R_000010,201000025,201000033,801000003,,,1.0
R_000011,201000025,201000034,801000003,,,2.0
R_000012,201000025,201000035,801000003,,,3.0
R_000013,201000025,201000036,801000003,,,4.0
R_000014,201000025,201000037,801000003,,,5.0
R_000015,201000025,201000038,801000003,,,6.0
R_000016,201000025,201000039,801000003,,,7.0
R_000017,201000025,730000000,801000004,,,
R_000018,201000025,630000000,801000005,,,
R_000019,201000040,201000041,801000001,250,g,
R_000020,201000040,201000042,801000001,1,根,
R_000021,201000040,201000043,801000001,1,块,
R_000022,201000040,201000044,801000001,1,头,
R_000023,201000040,201000045,801000001,5-8,瓣,
R_000024,201000040,201000046,801000001,10-15,ml,
R_000025,201000040,201000047,801000001,20,ml,
R_000026,201000040,201000048,801000001,10-15,ml,
R_000027,201000040,201000049,801000001,1,把,
R_000028,201000040,201000050,801000001,10,ml,
R_000029,201000040,201000051,801000001,10,ml,
R_000030,201000040,201000052,801000003,,,1.0
R_000031,201000040,201000053,801000003,,,2.0
R_000032,201000040,201000054,801000003,,,3.0
R_000033,201000040,201000055,801000003,,,4.0
R_000034,201000040,201000056,801000003,,,5.0
R_000035,201000040,730000000,801000004,,,
R_000036,201000040,620000000,801000005,,,
R_000037,201000057,720000000,801000004,,,
R_000038,201000057,640000000,801000005,,,
R_000039,201000058,201000059,801000001,1斤多,斤,
R_000040,201000058,201000060,801000001,20,g,
R_000041,201000058,201000061,801000001,15,g,
R_000042,201000058,201000062,801000001,3,g,
R_000043,201000058,201000063,801000001,30,g,
